i converge       t_e       t_r        ip        xi      i01      i02      i03      i04      i05      i06      i07      i08
1        2 1.060e+07 7.100e+07 1.510e+04 1.110e+06    1e-20    1e-20    1e-20    1e-20  4.6e-20 5.64e-13 6.71e-07      1.0
1        2 1.060e+07 7.100e+07 2.050e+04 1.510e+06    1e-20    1e-20    1e-20    1e-20 1.86e-20 3.08e-13 4.96e-07      1.0
1        2 1.060e+07 7.100e+07 2.770e+04 2.040e+06    1e-20    1e-20    1e-20    1e-20    1e-20 1.68e-13 3.66e-07      1.0
1        2 1.060e+07 7.100e+07 3.750e+04 2.760e+06    1e-20    1e-20    1e-20    1e-20    1e-20 9.19e-14 2.71e-07      1.0
1        2 1.060e+07 7.100e+07 5.070e+04 3.730e+06    1e-20    1e-20    1e-20    1e-20    1e-20 5.02e-14    2e-07      1.0
1        2 1.060e+07 7.100e+07 6.860e+04 5.050e+06    1e-20    1e-20    1e-20    1e-20    1e-20 2.74e-14 1.48e-07      1.0
1        2 1.060e+07 7.100e+07 9.290e+04 6.840e+06    1e-20    1e-20    1e-20    1e-20    1e-20  1.5e-14 1.09e-07      1.0
1        2 1.060e+07 7.100e+07 1.260e+05 9.250e+06    1e-20    1e-20    1e-20    1e-20    1e-20 8.18e-15 8.08e-08      1.0
1        2 1.060e+07 7.100e+07 1.700e+05 1.250e+07    1e-20    1e-20    1e-20    1e-20    1e-20 4.47e-15 5.97e-08      1.0
1        2 1.060e+07 7.100e+07 2.300e+05 1.690e+07    1e-20    1e-20    1e-20    1e-20    1e-20 2.44e-15 4.41e-08      1.0
1        2 1.060e+07 7.100e+07 3.110e+05 2.290e+07    1e-20    1e-20    1e-20    1e-20    1e-20 1.33e-15 3.26e-08      1.0
1        2 1.060e+07 7.100e+07 4.210e+05 3.100e+07    1e-20    1e-20    1e-20    1e-20    1e-20 7.28e-16 2.41e-08      1.0
1        2 1.060e+07 7.100e+07 5.700e+05 4.200e+07    1e-20    1e-20    1e-20    1e-20    1e-20 3.97e-16 1.78e-08      1.0
1        2 1.060e+07 7.100e+07 7.710e+05 5.680e+07    1e-20    1e-20    1e-20    1e-20    1e-20 2.17e-16 1.32e-08      1.0
1        2 1.060e+07 7.100e+07 1.040e+06 7.680e+07    1e-20    1e-20    1e-20    1e-20    1e-20 1.19e-16 9.73e-09      1.0
1        2 1.060e+07 7.100e+07 1.410e+06 1.040e+08    1e-20    1e-20    1e-20    1e-20    1e-20 6.48e-17 7.19e-09      1.0
1        2 1.060e+07 7.100e+07 1.910e+06 1.410e+08    1e-20    1e-20    1e-20    1e-20    1e-20 3.54e-17 5.31e-09      1.0
1        2 1.060e+07 7.100e+07 2.580e+06 1.900e+08    1e-20    1e-20    1e-20    1e-20    1e-20 1.93e-17 3.93e-09      1.0
1        2 1.060e+07 7.100e+07 3.500e+06 2.570e+08    1e-20    1e-20    1e-20    1e-20    1e-20 1.06e-17  2.9e-09      1.0
1        2 1.060e+07 7.100e+07 4.730e+06 3.480e+08    1e-20    1e-20    1e-20    1e-20    1e-20 5.77e-18 2.15e-09      1.0
