i converge       t_e       t_r        ip        xi      i01      i02      i03      i04      i05      i06      i07      i08      i09      i10      i11      i12      i13      i14      i15
1        3 1.040e+04 7.090e+07 5.190e-01 3.820e+01 1.41e-19 8.01e-13 9.37e-10 3.43e-07 3.16e-05  0.00343    0.104    0.629    0.185   0.0636  0.00944  0.00543  0.00095 1.49e-05 7.58e-08
1        3 1.040e+04 7.090e+07 7.030e-01 5.170e+01 2.72e-18 1.18e-13 1.86e-10 9.22e-08 1.15e-05  0.00168   0.0688    0.565    0.225    0.102     0.02   0.0142   0.0032 6.79e-05 4.67e-07
1        3 1.040e+04 7.090e+07 9.510e-01 6.990e+01 2.38e-18  1.6e-14 3.42e-11 2.29e-08 3.83e-06 0.000763   0.0421    0.468    0.252    0.152   0.0393   0.0352   0.0102 0.000293 2.72e-06
1        3 1.040e+04 7.090e+07 1.290e+00 9.470e+01    1e-20 1.71e-15 5.55e-12 5.03e-09 1.14e-06 0.000306   0.0229    0.344     0.25    0.202   0.0695   0.0793   0.0297  0.00116 1.46e-05
1        3 1.040e+04 7.090e+07 1.740e+00 1.280e+02    1e-20 6.06e-17 7.64e-13 9.36e-10 2.86e-07 0.000104   0.0105    0.214     0.21    0.228    0.105    0.153   0.0751  0.00395 6.72e-05
1        3 1.040e+04 7.090e+07 2.360e+00 1.730e+02 4.17e-18 1.44e-16 8.46e-14  1.4e-10 5.78e-08 2.85e-05   0.0039    0.107    0.143    0.208    0.127    0.243    0.156   0.0111 0.000256
1        3 1.040e+04 7.090e+07 3.190e+00 2.340e+02 2.79e-18 8.66e-17 7.48e-15 1.67e-11 9.34e-09 6.22e-06  0.00115   0.0429   0.0771    0.151    0.125    0.312    0.265   0.0255 0.000795
1        3 1.040e+04 7.090e+07 4.310e+00 3.170e+02 6.48e-18 1.99e-16  5.7e-16 1.65e-12 1.24e-09 1.12e-06  0.00028   0.0141   0.0344   0.0908    0.101    0.333    0.376   0.0489  0.00206
1        3 1.040e+04 7.090e+07 5.840e+00 4.290e+02    1e-20    1e-20    1e-20 1.41e-13 1.43e-10 1.75e-07 5.92e-05  0.00403   0.0133   0.0473   0.0706    0.311    0.467   0.0823  0.00469
1        3 1.040e+04 7.090e+07 7.900e+00 5.810e+02 9.11e-19 2.79e-17 3.55e-17 1.07e-14 1.49e-11 2.46e-08 1.13e-05  0.00104  0.00462   0.0222   0.0448    0.263    0.528    0.126  0.00972
1        3 1.040e+04 7.090e+07 1.070e+01 7.860e+02 1.27e-18 3.87e-17 4.67e-17 6.93e-16 1.43e-12  3.2e-09 1.98e-06 0.000247  0.00149  0.00967   0.0263    0.207    0.557     0.18   0.0188
1        3 1.040e+04 7.090e+07 1.450e+01 1.060e+03    1e-20    1e-20    1e-20 6.32e-17 1.29e-13 3.89e-10 3.26e-07 5.51e-05 0.000449  0.00394   0.0145    0.153    0.553    0.241   0.0341
1        3 1.040e+04 7.090e+07 1.960e+01 1.440e+03    1e-20    1e-20    1e-20    1e-20  1.1e-14 4.46e-11 5.06e-08 1.16e-05 0.000127  0.00151   0.0075    0.107    0.519    0.307   0.0586
1        3 1.040e+04 7.090e+07 2.650e+01 1.950e+03 3.67e-19 1.12e-17 1.35e-17 1.14e-16 9.28e-16 4.82e-12  7.4e-09 2.29e-06 3.41e-05 0.000547  0.00367   0.0703    0.461    0.369   0.0953
1        3 1.040e+04 7.090e+07 3.580e+01 2.630e+03 7.35e-20 2.25e-18 2.71e-18 2.27e-17 4.68e-17 4.92e-13 1.02e-09 4.27e-07 8.62e-06 0.000187   0.0017   0.0438    0.388     0.42    0.147
1        3 1.040e+04 7.090e+07 4.850e+01 3.570e+03 1.47e-19  4.5e-18 5.41e-18 4.54e-17 9.89e-18 4.72e-14 1.33e-10 7.51e-08 2.05e-06 6.03e-05 0.000739   0.0258    0.308    0.451    0.214
