                 r                   i01                i02                    i03                    i04 i05 i06 i07 i08
7283390400000000.0 0.0045324935658466485 2512.4754777309345  8.896234595746869e-05                    0.0 0.0 0.0 0.0 0.0
7383355200000000.0  0.004279224344156315 2283.8132877817084  6.587238123726322e-05                    0.0 0.0 0.0 0.0 0.0
7483320000000000.0   0.00395920739142461 2078.6276518746563  5.158297319583448e-05                    0.0 0.0 0.0 0.0 0.0
7583284800000000.0 0.0036625334933874294 1894.2414672973714  4.064421119372138e-05                    0.0 0.0 0.0 0.0 0.0
7683249600000000.0  0.003391679381570438 1728.3126220117742  3.212317855845384e-05                    0.0 0.0 0.0 0.0 0.0
7783214400000000.0  0.003145047291094893 1578.7883998336833 2.5445516351904137e-05                    0.0 0.0 0.0 0.0 0.0
7883179200000000.0  0.002923095639843099 1443.8666243515283  2.014994779607214e-05                    0.0 0.0 0.0 0.0 0.0
7983144000000000.0  0.002723130304895189 1321.9624345546408 1.5949163569015994e-05                    0.0 0.0 0.0 0.0 0.0
8083108800000000.0  0.002542741972820199 1211.6798022821927 1.2616958018142485e-05                    0.0 0.0 0.0 0.0 0.0
8183073600000000.0 0.0023797980444057393  1111.787076359542  9.974387494195156e-06                    0.0 0.0 0.0 0.0 0.0
8283038400000000.0 0.0022324183971839193 1021.1959415394426  7.879542545713005e-06                    0.0 0.0 0.0 0.0 0.0
8383003200000000.0 0.0020992592718416594  938.9432813555964  6.220192015881506e-06                    0.0 0.0 0.0 0.0 0.0
8482968000000000.0 0.0019786316223282074  864.1755170671219  4.906258838695541e-06                    0.0 0.0 0.0 0.0 0.0
8582932800000000.0 0.0018691286492691066  796.1350582838675  3.866388912230263e-06                    0.0 0.0 0.0 0.0 0.0
8682897600000000.0 0.0017718497226827776  734.1485597685232 3.0348505778545827e-06                    0.0 0.0 0.0 0.0 0.0
8782862400000000.0 0.0016812600709303221  677.6167389030335 2.3868898058594955e-06                    0.0 0.0 0.0 0.0 0.0
8882827200000000.0 0.0015987080697570499  626.0055008757288 1.8755880740552658e-06                    0.0 0.0 0.0 0.0 0.0
8982792000000000.0    0.0015252449203704  578.8382286745425 1.4682333818516595e-06                    0.0 0.0 0.0 0.0 0.0
9082756800000000.0 0.0014543620232355702  535.6890590546393  1.155520635729207e-06                    0.0 0.0 0.0 0.0 0.0
