       x        z    i    j inwind converge       v_x       v_y       v_z   dv_x_dx   dv_y_dx   dv_z_dx   dv_x_dy   dv_y_dy   dv_z_dy   dv_x_dz   dv_y_dz   dv_z_dz     div_v  dvds_max     gamma    dfudge 
3.14e+09 5.98e+10    1   17     -1        0  2.90e+07  7.00e+07  6.43e+08  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00 
3.14e+09 7.83e+10    1   18     -1        0  2.87e+07  6.21e+07  8.07e+08  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00 
3.14e+09 1.02e+11    1   19     -1        0  2.71e+07  5.50e+07  9.72e+08  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00 
3.14e+09 1.34e+11    1   20     -1        0  2.44e+07  4.85e+07  1.13e+09  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00 
3.14e+09 1.76e+11    1   21     -1        0  2.12e+07  4.27e+07  1.26e+09  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00 
3.14e+09 2.30e+11    1   22     -1        0  1.78e+07  3.76e+07  1.37e+09  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00 
3.14e+09 3.01e+11    1   23     -1        0  1.45e+07  3.30e+07  1.45e+09  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00 
3.14e+09 3.94e+11    1   24     -1        0  1.16e+07  2.89e+07  1.51e+09  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00 
3.14e+09 5.15e+11    1   25     -1        0  9.20e+06  2.53e+07  1.56e+09  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00 
3.14e+09 6.74e+11    1   26     -1        0  7.20e+06  2.22e+07  1.59e+09  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00 
3.14e+09 8.82e+11    1   27     -1        0  5.59e+06  1.94e+07  1.61e+09  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00 
3.14e+09 1.15e+12    1   28     -1        0  4.32e+06  1.70e+07  1.62e+09  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00 
3.14e+09 1.51e+12    1   29     -1        0  3.33e+06  1.49e+07  1.63e+09  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00 
3.90e+09 3.50e+08    2    0      0        0  0.00e+00  1.75e+08  0.00e+00  0.00e+00 -5.02e-02 -4.21e-11 -2.51e-02 -2.44e-10 -2.85e-08  0.00e+00  0.00e+00  5.42e-01  1.39e-03  5.42e-01  1.00e+00  3.50e+03 
3.90e+09 8.08e+08    2    1      0        0  5.79e+05  1.67e+08  1.36e+06  1.50e-04 -4.80e-02  6.71e-04 -2.45e-02  1.66e-04 -1.00e-02 -1.22e-04 -4.37e-10  1.78e-03  2.20e-03  3.68e-02  1.00e+00  1.08e+03 
3.90e+09 1.06e+09    2    2      0        0  7.32e+05  1.65e+08  1.77e+06  1.84e-04 -4.74e-02  7.47e-04 -2.43e-02  2.10e-04 -9.53e-03 -1.68e-04 -6.50e-10  2.06e-03  2.59e-03  3.64e-02  1.00e+00  1.41e+03 
3.90e+09 1.38e+09    2    3      0        0  9.55e+05  1.62e+08  2.41e+06  2.31e-04 -4.66e-02  8.23e-04 -2.40e-02  2.74e-04 -8.97e-03 -2.41e-04 -1.00e-09  2.40e-03  3.07e-03  3.59e-02  1.00e+00  1.85e+03 
3.90e+09 1.81e+09    2    4      1        0  1.27e+06  1.59e+08  3.37e+06  2.98e-04 -4.57e-02  8.99e-04 -2.37e-02  3.66e-04 -8.32e-03 -3.54e-04 -1.60e-09  2.81e-03  3.69e-03  3.53e-02  1.00e+00  2.42e+03 
3.90e+09 2.37e+09    2    5      1        1  1.73e+06  1.55e+08  4.86e+06  3.32e-04 -4.46e-02  9.93e-04 -2.23e-02  4.97e-04 -7.96e-03 -5.79e-04 -2.62e-09  3.32e-03  4.47e-03  3.41e-02  1.00e+00  3.17e+03 
3.90e+09 3.10e+09    2    6      1        0  2.39e+06  1.50e+08  7.16e+06  4.41e-04 -4.32e-02  1.07e-03 -2.16e-02  6.86e-04 -7.24e-03 -8.83e-04 -4.38e-09  3.95e-03  5.41e-03  3.32e-02  1.00e+00  4.15e+03 
3.90e+09 4.06e+09    2    7      1        0  3.30e+06  1.45e+08  1.08e+07  5.88e-04 -4.16e-02  1.14e-03 -2.08e-02  9.49e-04 -6.45e-03 -1.37e-03 -7.45e-09  4.72e-03  6.68e-03  3.21e-02  1.00e+00  4.23e+03 
